Text,Polarity
কর্মীরা অত্যন্ত ভালো ব্যবহার করে যা আমাক অনেক মুগ্ধ করেছে,excellent
আমি তাদের বুফে ডিনার পছন্দ করি যে আইটেমগুলোতে কলো ভুনাও অন্তর্ভুক্ত ছিলো,good
এখানে কোনো সস সালাদ কাঁচা ঝালের ব্যবস্থা নেই,bad
ভালোই ট্রাই করতে পারো,good
এখানে কম দামে ভালো খাবার পাওয়া যায়,good
খুব ধীর পরিষেবা এবং খুব খারাপ আচরণ,bad
দাম সবচেয়ে কম,good
খুব সৃজনশীল অভ্যন্তর সহ দুর্দান্ত খাবার,excellent
আবার আসবো এখানে,good
ভালো পরিষেবা সঙ্গে ভালো খাবার,good
তারা জানেই না কিভাবে গ্রাহকদের সাথে আচরণ করতে হয়,bad
খুব যুক্তিসঙ্গত দাম এবং খুব সুস্বাদু খাবার,excellent
শহরে সেরা চ্যাপ,good
তাদের সার্ভিস খুব হতাশ করেছে আমাকে,bad
এখানকার চ্যাপ সত্যিই দুর্দান্ত,excellent
পরিবেশ অনেক ভালো ছিলো,good
পরিষেবা দুর্দান্ত ছিলো,excellent
আমি তাদের জায়গা এবং আচরণ পছন্দ করি,good
খাবারটি উপভোগ করেছি এবং সামগ্রিক পরিবেশন এবং পরিষেবাটি দুর্দান্ত ছিলো,excellent
খুবই বাজে খাবার একবার খেয়ে যাওয়ার স্বাদ মিটে গেছে,bad
অভ্যন্তরটি খুব আরামদায়ক,good
তাদের আতিথেয়তা আশ্চর্যজনক ছিলো,excellent
আর না,bad
পরিষেবা এবং বিশেষভাবে খাঁটি স্বাদ,good
দাম কিছুটা বেশি,bad
যুক্তিসঙ্গত দাম সহ খাবারটি আসলে ভালো ছিলো,good
সামগ্রিক অভিজ্ঞতা আশ্চর্যজনক,excellent
এক কথায় চমৎকার,excellent
খাবারগুলো বেশ ভালো ছিলো,good
তারা তাদের গ্রাহকদের ব্যাপারে খুব যত্নশীল,good
খাবার অনেক পছন্দ হয়েছে,excellent
জায়গাও খুব ছোট,bad
ভালো মানের এবং সর্বনিম্ন দাম ছিলো,good
খাবারগুলো দুর্দান্ত,excellent
লেবু পানি অনেক ভালো ছিলো,good
আমি সত্যিই সন্তুষ্ট তাদের ব্যবহারে,excellent
ওয়েটারদের গ্রাহকদের প্রতি আরও মনোযোগী হওয়া দরকার,bad
কর্মীরা বন্ধুত্বপূর্ণ ছিলো এবং পরিবেশনার উদ্ভাবনী ছিলো,good
ভালো তবে সেরা নয়,good
এখানকার কালাভুনাটা খুব ভালো,excellent
যদিও খাবারটি আমার পছন্দ অনুসারে খানিকটা খারাপ ছিলো,bad
খাবারগুলো অত্যন্ত সুস্বাদু ছিলো,excellent
খাওয়া তেমন ভালো না,bad
লেবু পানি অনেক মুখরোচক ছিলো,excellent
ঠিক আছে মনে হচ্ছে,good
স্বাস্থ্যকর খাবার খাওয়ার এক দুর্দান্ত জায়গা,excellent
খাবারের পরিমাণ ও স্বাদ দুইটাই দামের তুলনায় কিছুই না,bad
খাবারের মান খুব ভালো,excellent
খাবার থেকে শুরু করে সব কিছু ফালতু,bad
যুক্তিসঙ্গত দামে সেরা চ্যাপ,excellent
আমি লেবু পানি মিস করলাম,bad
বাকি সবকিছুই ভালো ছিলো,good
আমার অভিজ্ঞতা অনুসারে সবচেয়ে খারাপ চ্যাপ,bad
আমার প্রিয় জায়গা,good
খাবার পরিমাণ ছিলো যথেষ্ট এবং সবচেয়ে আশ্চর্যজনকভাবে দামে এত যুক্তিসঙ্গত,excellent
পরিবেশ অনেক ভালো লেগেছে,good
খাবারটি দুর্দান্ত,excellent
লুচি অস্বাভাবিকভাবে বড় ছিলো,bad
আসল খাবারের জন্য দুর্দান্ত জায়গা এটা,excellent
খুব শান্ত একটা পরিবেশ,good
জায়গা একটু ছোট,bad
আমি শুধু চ্যাপ পছন্দ করি,good
তারা নিয়মিত গ্রাহকের জন্য কিছু ছাড় দিলে আরও ভালো হত,bad
খুব সুস্বাদু খাবার পরিমাণও বেশি,good
তাদের খাবার খেয়ে খুব ভালো বলতে হবে,excellent
এই সব ফালতু নাম,bad
কালাভুনা ছিলো স্বর্গীয়,excellent
আমি আরও অনেকবার সেখানে যেতে চাই,good
ফালতু খাবার,bad
আমি তাদের পরিষেবাটি উচ্চভাবে সুপারিশ করছি,excellent
এইটা খাইতেই হবে,excellent
আমি যাব,good
খাবার ও ভালো ছিলো এবং পরিবেশও ভালো লেগেছে,good
আর কখনও যাবো না,bad
কোপায় আসছি আজকে,good
খাদ্য অনেক ভালো ছিলো এবং তাদের পরিষেবা সন্তোষজনক ছিলো,excellent
তবে আচরণ সম্পূর্ণ বাজে,bad
শহরে সেরা চ্যাপ এখানে পাওয়া যায়,good
খাবারগুলো দুর্দান্ত ছিলো,excellent
খুব খারাপ পরিষেবা,bad
প্রত্যেকেরই এই জায়গাটি যাওয়া উচিত,good
কীভাবে রান্না করতে হয় তা জানে না,bad
সব আইটেম পছন্দ করেছি,good
আমি এখানে আর কখনও যাব না,bad
আসল খাবার,good
একদিন যেতে পারো,good
পুরাই ফালতু খাবার দিয়েছিলো,bad
কালাভুনাও তেমন ভালো লাগলো না,bad
আবার খাবারের দাম তো অনেক বেশি আছেই,bad
সেই স্বাদ,excellent
অভ্যন্তরটি সত্যই প্রশস্ত,good
তারা আমাকে তাদের সর্বোত্তম আইটেমগুলো পরিবেশন করেছে যা আমি খেতে সুপারিশ করি,excellent
উন্নতি দরকার,bad
আজই যাওয়া লাগবে,excellent
কালাভুনাটা অনেক পছন্দ করেছি,good
ওয়েটাররা সক্রিয় নয়,bad
এখানে খুব ভালো খাবার পাবেন,good
ঘরোয়া পরিবেশ সেজন্য বারবার খেতে যেতে চাই,good
পরিষেবা অসামান্য ছিলো,good
ভালো না শুনলাম,bad
ভালো ছিলো,good
এর চেয়ে মোঘলাই পরটা খাওয়া ভালো,bad
দুর্দান্তভাবে বন্ধুত্বপূর্ণ স্টাফ,excellent
শুনছি প্রাইজ একটু বেসি,bad
খাবার সুস্বাদু,good
আমি এখনও খাবারের স্বাদ পাচ্ছি যা আজ খেয়েছি,excellent
ফালতু যত্তসব খাবার দিয়ে রাখছে,bad
তাদের আচরণ সত্যিই চমৎকার ছিলো,excellent
তারা জানে কিভাবে তাদের গ্রাহকদের সাথে আচরণ করতে হয়,good
খাবারটি দুর্দান্ত ছিলো,excellent
এটার স্বাদ আসলেই অনেক ভালো,good
দাম অনুযায়ী খারাপ না,good
তাদের খাবার মুখরোচক ছিলো,good
তাদের পরিষেবা সত্যিই দুর্দান্ত ছিলো,excellent
লেবু পানি সতেজ ছিলো,good
সম্পূর্ণ হতাশ হলাম এখানে গিয়ে,bad
আলহামদুলিল্লাহি সুন্দর জায়গা এবং খাবারগুলোও সুস্বাদু,excellent
সাথে আচার থাকলে ভালো হতো,good
ডাকাতি করতে এসেছে,bad
এর থেকে কম দামে ভালো খাবার পাওয়া যায়,bad
সত্যিই অসাধারন,excellent
সাশ্রয়ী মূল্যের দাম সাথে অভ্যন্তরটিও সজ্জিত,good
যাচ্ছেতাই রকমের ফালতু,bad
আমি এটা ভালোবাসি,good
দুর্দান্ত খাবার,excellent
ভালো জায়গা এবং ভালো খাবার,good
তাদের পরিষেবাটিও অনেক ভালো ছিলো,good
কালাভুনা কিছুটা শক্ত ছিলো যা চিবানো কঠিন করে তুলেছিলো,bad
খুব সুন্দর,good
পরিষেবাটি সবচেয়ে খারাপ ছিলো,bad
দামও সাশ্রয়ী মূল্যের,good
এক কথায় অসাধারন,excellent
মজাদার খাবার,good
লেবু পানি ভালো ছিলো,good
অসাধারণ হইছে রেসিপি গুলো,excellent
কালাভুনাটা ঠিক আছে,good
সত্যিকারের ভালোবাসার জায়গা,good
ডাকাতি করতে বসেছে,bad
ধন্যবাদ আমাদের দেশ এর খাবার খাওয়ার জন্য,good
ভালোকে অবশ্যই ভালো বলতে হবে,good
দুধ চা অনেক মজার,excellent
খেতে খুবই খারাপ,bad
বয়কট শুরু হলে জায়গায় আসবে,bad
তাদের পরিষেবা চিত্তাকর্ষক,excellent
খাবার খারাপ ছিলো না,good
এটি পছন্দ করেছি এবং অবশ্যই আবার আসবো,excellent
সেরা খাবার এখানে পাবেন,excellent
টেস্টে তেমন বেশি পার্থক্য নেই বললেই চলে,good
খুব ভালো হয়েছে,excellent
ভালোই খাইতে,good
কর্মচারীদের আচরণ অনেক ভালো লেগেছে,good
তাদের গ্রাহক পরিষেবা খুব ধীর,bad
কালাভুনাটা আসলেই ভালো ছিলো,excellent
যারা মনের খিদা মিটাতে চান তাদের বলবো অবশ্যই ট্রাই করবেন,excellent
দাম কম করেন,bad
চমৎকার জায়গা,excellent
বসার জায়গাটাও সুন্দর,good
খাবারটি এত ভালো ছিলো বিশেষ করে কালাভুনা,excellent
একটি উপযুক্ত গ্রাহক ব্যবস্থা থাকলে ভালো হত,bad
এখানে আমি ভাত আর কবুতরের মাংস খাইসিলাম,excellent
তাদের রেস্টুরেন্ট পরিষ্কার,good
খাবারের জন্য খুবই সুন্দর জায়গা,excellent
তবে খাবারটি পছন্দ হয়নি,bad
দারুন খাবার,excellent
সামগ্রিকভাবে সবকিছু সেখানে ভালো,good
এখানকার কালাভুনাটা আমি খেতে বলবো,good
ভালো চ্যাপ চাইলে আজই আসুন,good
এই রেস্তোঁরাতে দুর্দান্ত খাবার পাওয়া যায়,excellent
জঘন্য,bad
লেবু পানিও অনেক ভালো ছিলো,good
কম দাম সহ দারুণ স্বাদ সাথে স্বাস্থ্যসম্মত মানের সস্তায় চ্যাপ পাওয়া যায়,excellent
খাবার ঠিক ছিলো,good
সব মিলিয়ে অসাধারন,excellent
সবচেয়ে খারাপ গরুর বিরিয়ানি,bad
লুচি যথেষ্ট ভালো রান্না করা হয়েছিলো,good
অভ্যন্তর সুন্দরভাবে সজ্জিত,good
তবে আরও ভালো হতে পারত,bad
খাবার ভালো,good
বিরিয়ানিটা খুব ভালো ছিলো,excellent
আমরা বেশ কয়েকবার এই জায়গায় এসেছি এবং এটি সত্যিই ভালো,good
জায়গাটা পরিবার নিয়ে খেতে যাওয়ার জন্য অনেক ভালো,excellent
আপনাদের সুন্দর পরিষেবার জন্য ধন্যবাদ,good
ভুয়া বিরিয়ানি,bad
আপনার আপনি এটি শীঘ্রই চেষ্টা করা উচিত,good
সবকিছুই ঠিক আছে,good
বিশেষ কিছু না,bad
চ্যাপ এবং লুচি জন্য সেরা জায়গা,excellent
জঘন্য অভিজ্ঞতা,bad
বুফেতে দুর্দান্ত খাবার খেয়েছি,good
তারা অনেক কম দাম রাখে যা অনেক ভালো,good
আমি এখানকার কালাভুনার বিশাল ফ্যান,excellent
মুখরোচক,good
অবশ্যই আমি আবার আসব,good
কিছুটা ধীর পরিষেবাটি অন্যথায় ঠিক আছে,bad
ব্যয়বহুল এবং অসাধারণ খাবার নয়,bad
খুব টেস্ট,excellent
নোংরা স্যতস্যতে পরিবেশ,bad
অন্ধকারের মাঝে মানুষ কিভাবে এতো খাইতেছে আল্লা মালুম,bad
বাংলা খাবার গুলোই বেশি ভালো লাগে,good
প্রাইসটা একদম পার্ফেক্ট লাগসে,good
দাম বেশি নেয়,bad
ক্ষুধা লাগাইয়া দিলা মিয়া,good
দুর্দান্ত খাবারের মান এবং সামগ্রিক অভিজ্ঞতা,excellent
দেরিতে খাবার দেয়,bad
চ্যাপটাও ভালো ছিলো,good
তারা তাদের গ্রাহকদের সম্মান দেয় না,bad
পরিবেশটা অনেক ভালো ছিলো যা অনেকেরই পছন্দ হবে,excellent
অস্থির ম্যান,excellent
পাড়ার কাছে এমন জায়গা পেয়ে ভালো লাগছে,good
ঢাকায় থাকা খাদ্যটি আমাদের আগের চেয়ে ভালো,bad
এখানে আবার আসবো খেতে,good
মূল্য অনুযায়ী প্রকৃত খাদ্য প্রদান করে,good
এখানকার খাদ্য আমার মতে বিশ্বের সেরা,excellent
সবচেয়ে খারাপ বুফে,bad
এটা নকলটা,bad
তবে দাম অনেক কম যা ভালো লেগেছে,good
কি দারুন,excellent
তাদের প্রচুর পরিমাণে বৈচিত্র্য রয়েছে,excellent
একটিবার হলেও যাওয়ার ইচ্ছা আছে,good
বয়কট করলুম,bad
এটা সত্যিই অনন্য এবং সুস্বাদু,excellent
সবচেয়ে সস্তা খাদ্য,good
এমনকি তারা কীভাবে গ্রাহকদের সাথে ডিল করতে হয় তাও জানেন না,bad
খুব বেশি স্বাদযুক্ত,good
খুব ভালো,excellent
ভালো খাবারের জন্য অবশ্যই একটি উপযুক্ত জায়গা,good
চাউলের মান খারাপ,bad
আমি মুগ্ধ হয়ে গেলাম তাদের ব্যবহারে,excellent
আসুন এবং উপভোগ করুন,good
গভীর রাতে খোলা সুবিধাগুলো কর্পোরেট ব্যবহারকারীদের জন্য সত্যই চিত্তাকর্ষক,excellent
দাম সস্তা,good
খাদ্য স্বর্গ,excellent
এখানে যান এবং এই সব সুস্বাদু খাদ্য খান,good
খাদ্য এত সুস্বাদু,excellent
আগের মত খাবার ভালো না,bad
আমার প্রিয় খাদ্য,good
আমি বুঝতে পারছি না আমি কত খুশি,excellent
ভিতরে সুন্দর সজ্জা,good
এমনকি মরিচ ভালো স্বাদ,excellent
আমি ঐ খাবার ভালোবাসি,good
ঢাকার খাবার এত সুন্দর,excellent
আমরা সত্যিই এখানকার কালাভুনার স্বাদ পছন্দ করেছি,good
চ্যাপটা সুস্বাদু ছিলো,good
মুখরোচক খাবার এবং দুর্দান্ত পরিষেবা তাদের কাছ থেকে পেয়েছি,excellent
খাবার ছিলো যথেষ্ট ভালো,good
গ্রাহকদের সাথে কীভাবে আচরণ করা যায় সে সম্পর্কে কিছুটা মনোযোগী হওয়া দরকার,bad
সবকিছু ভালোভাবে রান্না করা ছিলো,good
সুন্দর জায়গা সাথে সুস্বাদু খাবার,good
পরিবেশ এর পাশাপাশি খাবার এর মানও আলহামদুলিল্লাহ অনেক ভালো,excellent
সব মিলিয়ে অনেক ভালো,good
তাদের খাবার আসলে ভালোনা,bad
ওর থেকে পাশেরটা ভালো,bad
বিশিষ্ট খাদ্য,good
বিশেষভাবে তাদের পরিষেবা আশ্চর্যজনক ছিলো,excellent
খরচ যুক্তিসঙ্গত,good
আমার দেখামতে সবচেয়ে খারাপ খাবার,bad
সুলভ মূল্য,good
দাম অনেক বেশি নেয়,bad
আমি আবারো এখানে খেতে আসবো,good
শহরে সেরা খুচুড়ি,excellent
কাবাব খাওয়ার জন্য ভালো জায়গা,excellent
তাদের গুছানো ভেতরের পরিবেশ পছন্দ করি,good
অসাধু কর্মী,bad
চমৎকার পরিষেবা,excellent
খাবারের মান উন্নত হচ্ছে,good
লেবু পানি দুর্দান্ত ছিলো,excellent
খাবার ভালো ছিলো,good
পরিষেবাটি দুর্দান্ত ছিলো,excellent
সুন্দরভাবে সজ্জিত অভ্যন্তর তবে জঞ্জালপূর্ণ,good
দামও যুক্তিসঙ্গত,good
সংগীত কিছুটা বেশি জোরে ছিলো,bad
ডেকোরেশন টাও সুন্দর,good
তাদের লুচি গুলো সুন্দর না,bad
ভালো পরিবেশ,good
দুর্দান্ত খাবার এবং ভালো আচরণ,excellent
যুক্তিসঙ্গত দাম সহ সুস্বাদু খাবার,good
অভ্যন্তরের পরিবেশ অনেক পছন্দ হয়েছে,good
আড়ম্বরপূর্ণ অভ্যন্তর,excellent
দাম সাশ্রয়ী ছিলো,good
তাদের প্রায় সমস্ত 'কাবাব' আইটেম অস্থির ছিলো,excellent
তারা খাবারের আসল স্বাদ বজায় রেখেছিলো,good
আমি কখনই এই রেস্টুরেন্টে খেতে যাব না,bad
অভ্যন্তর অনেক সুন্দর ছিলো,good
খাদ্য আশ্চর্যজনক দেখাচ্ছে,excellent
খুব খারাপ অভিজ্ঞতা,bad
আবারো আসবো এখানে,good
ছোট জমাট এবং সুস্বাদু খাবারের জন্য খুব সুন্দর জায়গা,excellent
দাম অনেক বেশি,bad
খাদ্য সুস্বাদু ছিলো,good
পরিষেবা প্রশংসনীয় ছিলো,good
খাবারের মান খুব সাধারণ ছিলো,good
স্টাফগুলো কাস্টমারদেরকে অস্বস্তিকর অবস্থায় ফেলে,bad
আমি এই খাবার ভালোবাসি,good
আমার মনে হচ্ছে অনেক বেশি দাম রাখে,bad
প্রচুর টাকা লাগে,bad
সৃজনশীল রান্না,good
চমৎকার ডাইনিং,excellent
গোস্ত ছিলো রাবারের মতো,bad
লুচিগুলো মাঝে মাঝে আনেক তেলতেলে হয়,bad
দয়া করে ভলিউম মাঝারি রাখুন,bad
সুস্বাদু মেনু,excellent
সাশ্রয়ী মূল্যের মধ্যে সুস্বাদু খাবার,excellent
সুস্বাদু খাবার,good
এমনকি আমি তাদের থেকে আরও ভালো রান্না করতে পারি,bad
অসাধারণ খাবার,excellent
পরিবেশ ভালো এবং প্রধান খাবারটিও ভালো,good
আশ্চর্যজনক এবং সুদৃশ্য খাবার,excellent
আমি এই মেনুটা ভালোবাসি,good
সবকিছু সুস্বাদু,excellent
ওয়াও নাইছ,good
খাবারে মান কমছে,bad
দুর্দান্ত খাবার আশ্চর্যজনক জায়গা,excellent
ব্যবহার জঘন্য,bad
প্রতিটি আইটেম খুব সুস্বাদু,good
আমি সেখানে যেতে চাই এবং সেই স্বপ্নের পোলাও খেতে চাই,excellent
তাদের কালাভুনা ছিলো না,bad
টকটকে খাদ্য,good
খাদ্যের জন্য চমৎকার জায়গা,excellent
ভালো খাদ্য আইটেম,good
খাবারগুলো অনেক ভালো লেগেছে আমার,good
ভালো খাবারের জন্য দুর্দান্ত জায়গা,excellent
খাবার খুব সুস্বাদু ছিলো,good
এক কথায় অসাধারণ,excellent
আমি এখানকার কালাভুনা পছন্দ করি,good
দাম ছিলো যুক্তিসঙ্গত,good
যথেষ্ট ভালো রান্না করা হয়েছিলো,excellent
অন্যান্য আইটেমগুলো আরও উন্নত করা দরকার,bad
অসন্তোষজনক খাবার এগুলো,bad
দারুন খাবার,good
আগেই বয়কট করেছি,bad
আশ্চর্যজনক,good
আমার মুখ জল এসে গেলো,good
চরম উদাসীনতা খাবারের মান এবং পরিবেশ নিয়ে,bad
তাদের পরিষেবাগুলোও ভালো,good
আমরা বোকার মত যাই,bad
পরিবেশ খুব খারাপ ছিলো না,good
তারা কোনও অভিযোগকে গুরুত্বের সাথে নেয় না,bad
আমি কলা ভুনাটা আবার খেতে চাই,good
এটা অখাদ্য ছিলো,bad
খাবারও খুব ভালো,good
সমস্ত বাংলাদেশ খাদ্যপ্রেমীদেরকে এখানে যেতে বলবো তাদের ব্যবহারের জন্য,good
অন্তত একটি ক্ষমা চাওয়া উচিৎ ছিলো,bad
আমার প্রিয় মিষ্টির দোকান,good
তাদের পরিষেবা খুব খারাপ ছিলো,bad
তাদের খাদ্য তালিকা আমার মতে বিশ্ব সেরা,excellent
ভালো পরিবেশ,good
খাবারের স্বাদ ভালো ছিলো,good
খাবারের পরিমাণ খুব কম ছিলো,bad
কর্মীরা ভালো আচরণ করে,excellent
সবচেয়ে খারাপ পরিষেবা এবং হতাশাজনক মনোভাব,bad
আমি এই খাবার ভালোবাসি,good
অসাধারণ,excellent
কিন্তু ভিড় অনেক ছিলো,bad
পাড়ার কাছে এমন জায়গা পেয়ে ভালো লাগছে,good
ব্যবহার খারাপ,bad
তারা যেভাবে আচরণ করেছে তাও পছন্দ হয়েছে,good
ভালো জায়গা ভালো খাবার সাথে ভালো পরিষেবা,excellent
কড়া ফ্যান,excellent
খাদ্য আমি এটা ভালোবাসা,good
আচারগুলো আসলেই অনেক মজার,good
বিরিয়ানি হেব্বি টেষ্ট,excellent
খাবার এর স্বাদ খারাপ,bad
দাম অনেক বেশী,bad
পরিবেশটিও বেশ ভালো,good
স্বাদে মাঝারির চেয়ে কম তাই খাবারগুলো পছন্দ করিনি,bad
খুব মজার আচার,good
গরুর মাংস এবং মুরগির চ্যাপ কিছুটা পোড়া হয়েছিলো,bad
লুচি ছিলো অস্বাভাবিক রকমের ঠান্ডা,bad
লেবু পানি ভালো ছিলো,good
আর যাবো না,bad
সঠিক কাবাব খাওয়ার জন্য উত্তম জায়গা,excellent
আর আসা যাবে না,bad
আমি যখন এখানে থাকি তখন তাদের জায়গায় যেতে পছন্দ করি,excellent
খাবার দুর্গন্ধযুক্ত,bad
ভালো গ্রাহক পরিষেবা সহ সুস্বাদু এবং মুখরোচক খাবার,excellent
পরিবেশ ৯ যা অনেক ভালো,good
কোপাইছি আজকে,good
এগুলো ফালতু খাবার,bad
আশ্চর্যজনক এইসব খাদ্য,excellent
ফালতু যত্তসব,bad
আমি তাদের জিনিস পছন্দ করি,good
নিম্নমানের পরিষেবা দেখিয়েছেন,bad
অর্ডার দেওয়ার সময় সতর্কতা অবলম্বন করা উচিত,bad
খাবারের মানও খুব ভালো,excellent
খাদ্য স্বাভাবিক ছিলো তবে দাম ছিলো বেশ ব্যয়বহুল,bad
খাবারের মান ভালো ছিলো,good
একদিন খেতে পারো,good
পুরাই ফালতু খাবার খাইলাম,bad
ভালো স্বাদ,good
আজই যাওয়া লাগবে খাইতে,excellent
ভালো না একদম,bad
ভালো ছিলো খাবারটা,good
ফাউল সব খাবার,bad
অল্প দামে খুব ভালো মানের খাবার পাওয়া যায়,good
খুবই ব্যয়বহুল এবং অসাধারণ খাবার নয়,bad
খাবার টাটকা ও সুস্বাদু এবং পরিবেশও আরামদায়ক,good
এটা তো খাইতেই হবে,excellent
ট্রাই করতে পারো,good
শুনেছি প্রাইজ নাকি একটু বেশি,bad
সাথে আচার দিলে অনেক ভালো হতো খাবারটা,good
ডাকাতি করতে আসছে এরা,bad
দেখে সুস্বাদু খাবারই তো মনে হচ্ছে,excellent
