Text,Polarity
দাম বেশি কমান,bad
একটি খুব যুক্তিসঙ্গত দামে সত্যিই ভালো চ্যাপ,good
আমার যাওয়া দরকার,good
এর চেয়ে কম দামে অনেক ভালো খাবার পাওয়া যায়,bad
সত্যিই ভালো ছিলো,excellent
খু্বই সুন্দর আইটেম,good
অসাধারণ হইছে আইটেম গুলো,excellent
তাদের পরিষেবা খুব ধীর,bad
আচারটা তো আসলেই সেই মজার ছিলো,excellent
আমি খুব হতাশ হয়েছি তাদের ব্যবহারের জন্য,bad
মিষ্টিগুলো খুব ভালো লেগেছে,excellent
আমার ওপ্রিয় খাদ্য এটা,bad
এমনকি মরিচ ভালো স্বাদ,excellent
খাদ্য খুবই নিম্নমানের,bad
এবং আপনি যদি খাবারটি সম্পর্কে জিজ্ঞাসা করেন তবে আমি বলি এটা অসাধারণ,excellent
যুক্তিসঙ্গত খরচ সহ খাবারের জন্য দুর্দান্ত জায়গা,excellent
সাজসজ্জা অনেক ভালো ছিলো,good
আমি ঐ খাবার ভালোবাসি,good
আমি বুঝাতে পারছি না আমি কতটা রেগে আছি,bad
ঢাকার খাবার ভালোই সুন্দর,good
লুচিগুলো  মচমচে হয় না,bad
এটি আমাদের দেশের সেরা মিষ্টির দোকান,excellent
লেবু পানি দুর্দান্ত ছিলো,excellent
মাশআল্লাহ,good
স্থান প্রসারিত করা উচিত,bad
আমার কাছে সেরা চ্যাপ,excellent
আমি তাদের খাবার ভালোবাসি না,bad
ব্যবহার খারাপ,bad
আসল দাম এক নয়,bad
জায়গাটা ভালো সজ্জিত ছিলো,good
পরিবেশটি বেশ ভালো এবং কর্মীদের আচরণ সন্তোষজনক,excellent
খাবার খুব ভালো,excellent
অস্থির,good
খাবারগুলো অনেক সুন্দর ও ভালো ছিলো,excellent
আর আসবো না এখানে,bad
ভালো খাবার সাথে ভালো জায়গা,good
এটি অন্যায়ভাবে ব্যয়বহুল,bad
বাংলাদেশের মিষ্টির সেরা দোকান,excellent
খাবারও খুব ভালো,good
তাদের মূল্যের নীতি খারাপ,bad
অভ্যন্তর অনেক পছন্দ হয়েছে,good
এর চেয়ে মোঘলাই পরটা ভালো,bad
কি সুন্দর,excellent
গরুর মাংস এবং মুরগির চ্যাপ দুটোই কিছুটা পোড়া হয়েছিলো,bad
পরিষেবা নিয়ে বলার কিছুই নেই,bad
একদম দুর্দান্ত খাবার এবং পরিষেবা,excellent
দাম বেশী রাখে,bad
ভালোকে ভালো বলতে হয়,good
ডাকাতি করতে বসেছে নাকি,bad
খুব ভালো লেগেছে,excellent
খাবার এর স্বাদ ভালো না,bad
ভালো খাবার,good
খাদ্য ব্যবস্থাপনা কিছু ভুল ছিলো,bad
ধন্যবাদ ভালো খাবার খাওয়ানোর জন্য,good
আদা চা অনেক মজার,excellent
গ্রাহকদের সাথে তাদের আচরণও খুব বন্ধুত্বপূর্ণ,good
লোকেরা কেন এখানে যায়,bad
এখানে বিভিন্ন ধরণের সুস্বাদু চ্যাপ পাওয়া যায়,good
খাবার সুস্বাদু,good
এটি গ্রাহকদের জন্য খুব বিভ্রান্তিকর,bad
খাদ্য খুব সুস্বাদু,excellent
টেস্টে তেমন বেশি পার্থক্য নেই,good
খুব ভালো রান্না হয়েছে,excellent
ভালোই লাগলো খেতে,good
জঘন্য সব খাবার দিয়েছে আমাকে,bad
খাবারের অভিজ্ঞতা আশ্চর্যজনক ছিলো,excellent
তেমন মুখরোচক ছিলোনা খাবারটা,bad
খুব টেস্ট লাগলো না তো,good
আশ্চর্যজনক খাদ্য,excellent
সুন্দর পরিবেশ এবং খাবারও অনেক ভালো,good
বাংলা খাবার কখনো বেশি ভালো লাগেনি,bad
খুবই অল্প মূল্য,good
দাম সস্তা হয়নি,bad
এটি আমার সবচেয়ে প্রিয় রেস্তোরাঁ,excellent
আমি এখানে আগে না খাওয়ার জন্য আফসোস করছি,good
অবশ্যই আবার ফিরে আসবো এখানে,good
আমি মনে করি এখানকার কালাভুনা অন্যান্য জায়গাগুলোর চেয়ে অনেক ভালো,excellent
পরিচালনা খুব বন্ধুত্বপূর্ণ ছিলো,good
খারাপ পরিষেবা,bad
তুলনামূলকভাবে খুব কম খরচে ভালো মানের কাবাব পাওয়া যায়,good
আমি স্বাগত পানীয়টা অনেক পছন্দ করি,good
ভুয়া তেহারি,bad
তাদের খাবারের একটি আশ্চর্যজনক স্বাদ আছে,good
খুব বাজে আচার,bad
এই প্রশংসামূলক মিষ্টির জন্য ধন্যবাদ,good
পরিবেশ এবং স্টাফগুলোর আচরণ আশ্চর্যজনক,excellent
খাবার ভালো তবে পরিষেবা খুব খারাপ,bad
বাঙালি খাবার ভালো খাবার,good
হতাশজনক,bad
খাদ্যের স্বর্গে স্বাগতম,excellent
মুরগির বিরিয়ানি খুব তৈলাক্ত ছিলো,bad
কালাভুনা ছিলো একমাত্র যেটি স্বাদে কিছুটা ভালো ছিলো,good
সুপারিশ করবে না এখানে যেতে,bad
তৃপ্ত খাবার,excellent
স্বাদহীন সিঙ্গারা,bad
এখানকার কালাভুনা বরাবরই সত্যই ভালো,excellent
মিষ্টি খাবার আছে,good
খাবার উপস্থাপনা অনেক ভালো,excellent
অনেক মুখরোচক,excellent
খাবার আসলেই ভালো,good
আমি যখনই পারব অবশ্যই এখানে যাব,excellent
এটি নি:সন্দেহে প্রসংশনীয়,good
খাবারটি ভয়ঙ্কর সুন্দর ছিলো,excellent
প্রামাণিক এবং প্রেমের সাথে পরিবেশন করে,good
খাবার ভালো ছিলো,good
মূল্য অনুযায়ী প্রকৃত খাদ্য প্রদান করেনি,bad
আপনারা যদি আপনার এয়ার কন্ডিশন সিস্টেম এবং লাইট সিস্টেম বাড়িয়ে দেন তবে ভালো হবে,bad
স্টাফগুলো একদমই অভিজ্ঞ নয়,bad
সুন্দর বসার জায়গা আছে,good
এখানে হাঁসের মাংস খাইসিলাম ভালোই মজা ছিলো,excellent
তাদের হোটেল তেমন পরিষ্কার করে না,bad
বিখ্যাত রসমালাই,good
এটা কপি করা হোটেলটা,bad
কি ফালতু সব খাবার,bad
প্রাইস একদম পার্ফেক্ট লাগছে আমার কাছে,excellent
দাম বেশি নেয়নি তেমন,good
ঢাকায় থাকা খাদ্যটি আমাদের আগের চেয়ে ভালো,bad
পোলাওটা খেতে চাই,good
খাবারগুলো অনেক পছন্দ হয়েছে,excellent
মোটেই সন্তুষ্ট হতে পারলাম না,bad
সব দিন এক রকম হয় না,bad
অন্যরকম খাদ্য,good
সবচেয়ে ভালো খিচুড়ি যা আমার জীবনে খেয়েছি,excellent
তিতা খাবার,bad
খাবার সুস্বাদু সাথে পরিষেবাও ভালো,good
পরিমাণ কিছুটা বাড়ানো উচিত,bad
তাদের খাদ্য দাম এত সস্তা,excellent
তাদের প্রচুর পরিমাণে ভারাইটি আছে,excellent
একবার যাওয়ার ইচ্ছা করে,good
তবে তাদের চ্যাপ এবং কাবাব সত্যিই ভালো ছিলো,good
ভালো সাজসজ্জা,good
দুর্দান্ত খাবার আইটেম,excellent
দাম যুক্তিসঙ্গত এবং খাবারের স্বাদ ভালো,good
ছোট জায়গা এবং তাদের পরিষেবাতে সন্তুষ্ট নই,bad
আমার ভালো লেগেছে লুচি,good
মুখরোচক খাবার এবং মিষ্টান্নও অনেক ভালো,excellent
এবং দামও খুব যুক্তিসঙ্গত,good
চ্যাপ এবং লেবু পানি অন্যতম সেরা,excellent
অসন্তোষজনক,bad
খাবারের মান এবং স্বাদ অনেক ভালো,good
পরিবেশেন ভালো না,bad
মালিকদের আচরণ খুব ভালো ছিলো,excellent
খাবার ভালো করার চেষ্টা করে না,bad
চ্যাপটি বেশ ভালো ছিলো,good
আমার জীবনের সবচেয়ে ভালো লেবু পানি ছিলো,excellent
সুন্দর জায়গা,good
স্বাদ ও গুণমান ভালো ছিলো,excellent
অনেক সুন্দর পরিবেশ,good
এটা একেবারে চমৎকার অভিজ্ঞতা ছিলো,excellent
বেশ অস্বস্তি,bad
খাবার আসলেই সুস্বাদু লেগেছে,good
কেউই নিশ্চিতভাবে তাদেরকে হারাতে পারবে না,excellent
সত্যিই অনেক ভালো লাগল এখানে খেয়ে,good
লুচি কিছুটা তৈলাক্ত ছিলো,bad
দামও যুক্তিসঙ্গত ছিলো,good
আমাদের খাবার খাওয়ার জন্য খুব সুন্দর অভিজ্ঞতা ছিলো,excellent
শহরের সেরা চ্যাপ বিশেষত লেবু পানি ,excellent
খারাপ পরিবেশেন,bad
এটি বন্ধুদের সাথে দেখা করার জন্য দুর্দান্ত জায়গা,excellent
বাংলাদেশের সেরা চ্যাপ,good
আমার কাছে সেরা চ্যাপ ছিলো,excellent
বিরিয়ানি হেব্বি,good
এই আইটেমের টপ ফ্যান,excellent
দাম অনেক বেশি,bad
চিরাচরিত বাংলাদেশী খাবার আছে,good
খাবার দুর্দান্ত এবং খাবারের দামও কম,excellent
নিজেদের মধ্যে কথা বলতে ব্যস্ত,bad
রোমান্টিক পরিবেশ,excellent
দারুন খাবার,excellent
তারা যত্ন করে বলে মনে হচ্ছে না,bad
এদের কাছে যাইনা আমিও,bad
এটা সত্যিই অনন্য,excellent
সবচেয়ে সস্তা,good
দুর্দান্ত খাবার যা এই বিশ্বে কমই রয়েছে,excellent
আমরা এই জায়গায় একটি সুন্দর ডিনার করেছি,good
খাদ্য হিসাবে ভালো ছিলো অনেক,good
ক্ষুধা লেগে গেল দেখে,excellent
খুব ভালোভাবে সাজিয়েছে থালাগুলো,excellent
আসুন পরে খাবারগুলো উপভোগ করুন,good
খাদ্য মহান জিনিস,good
এখানে যান তারপর তো সুস্বাদু খাদ্য খাবেন,good
খাদ্য তেমন সুস্বাদু ছিলো না,bad
যুক্তিসঙ্গত দামের সাথে খাদ্য যথেষ্ট সুস্বাদু,good
আর খাবো না,bad
সবচেয়ে খারাপ একটি রেস্তোঁরা,bad
আমি এখানকার টেস্টি এবং বিভিন্ন বাঙালি খাবারের চরম ফ্যান,excellent
আশ্চর্যজনকভাবে বাজে ছিলো,bad
আমি এই আইটেম পছন্দ করি নারে,bad
ওয়াও,excellent
যুক্তিসঙ্গত দাম সহ শহরের যে কোনও চ্যাপ থেকে অনেক ভালো,excellent
আমি তাদের খাবার খেয়ে খুব মুগ্ধ,good
খুব খারাপ মানের ছিলো,bad
অভ্যন্তর দুর্দান্তভাবে সাজিয়েছে,excellent
বন্ধুবান্ধব এবং পরিবারের সাথে আসার জন্য একটি ভালো জায়গা,good
মুখরোচক খুচুড়ি,excellent
স্বাদ ভালো তবে উচ্চ মূল্যকে ন্যায়সঙ্গত করার পক্ষে যথেষ্ট ভালো নয়,bad
দুর্দান্ত অভিজ্ঞতা এবং খুব সুস্বাদু খাবার,excellent
পরিবেশ অনেক ভালো,good
খুব ভালো মানের খাবার এবং পরিষেবা,excellent
খাওয়ার তুলনায় খুব দামি,bad
ভালো পরিবেশ এবং অতিথি এবং অপরিচিত ব্যক্তির সাথে বন্ধুত্বপূর্ণভাবে আচরণ করা হয়,good
দুর্দান্ত পরিষেবা,excellent
খাবারটি খুব ভালো ছিলো,good
বিশেষত কালাভুনাটা অনেক ভালো ছিলো,good
আমি চাই লেবু পানি পাওয়া যাক,bad
কিছু খাবার আইটেম খুব টেস্টি ছিলো,excellent
অবশ্যই এখানে খেতে যাবেন,good
দুর্দান্ত খাবার ও চমৎকার পরিবেশ,excellent
সুপার পরিষেবা,excellent
এক কথায় দুর্দান্ত,excellent
আমি কোলাহল জায়গা পছন্দ করি না তাই এটি ছিলো সুন্দর পরিবেশ,good
খাদ্যের জন্য তেমন ভালো জায়গা এটা না,bad
ভালো আইটেম,good
তাদের খাবার স্বাদ সুস্বাদু ছিলো,good
খাবারের দাম খুব বেশি,bad
অনেক ভালো মানের খাবার,good
দুর্দান্ত এবং উপভোগের জায়গা,excellent
আমি সত্যিই অবাক হয়েছিলোাম,good
হাস্যকর দাম,bad
সাজসজ্জা অনেক ভালো,excellent
সুন্দর ও মনোরম পরিবেশ,good
বিপুল সংখ্যক গ্রাহক হিসাবে খুব কম জায়গা,bad
আরামদায়ক পরিবেশ,good
দারুন খাবার,excellent
আলহামদুলিল্লাহ্‌ অনেক ভালো লাগলো এখানে খেয়ে,excellent
দাম আর খাবারের মান দুইটাই মানসম্মত,good
ধীরগতির সার্ভিস,bad
সবকিছুই সুস্বাদু,excellent
রোমান্টিকতা চলো আসলো,good
আমার মুখে গালি চলে আসলো,bad
কি দারুন,excellent
আমি তাদের মেন্যু পছন্দ করিনা,good
ফ্যান্টাসটিক,excellent
মিষ্টি ঠিক আছে,good
খাওয়ার সময় চরম যত্ন নেয়,excellent
ওয়েটার আমার থালাটি প্রতিস্থাপন করতে এমনকি অনিচ্ছুক ছিলো,bad
ফুসকা খাওয়ার পরে বমি হয়েছিলো,bad
রাতের খাবার সুস্বাদু,good
জায়গাটিও আশ্চর্যজনকভাবে অনেক সুন্দর,excellent
যদিও খাবারের স্বাদে আরও প্রত্যাশা ছিলো,bad
কোপায়া খাইছি,excellent
আশা করি তারা আস্থাটা ধরে রাখবে,good
আমি আবার জায়গাটি যাব এবং লোকদেরকে যেতে পরামর্শ দেব,excellent
ধ্যাত সব বাজে খাবার দিয়ে রাখছে,bad
বাংলাদেশের খাবার ভালো মানের খাবার,good
বারিশালের খাবার বাজে মানের খাবার,bad
খাদ্যের নরকে স্বাগতম,bad
বিখ্যাত পায়েস,good
সত্যিই দুর্দান্ত জায়গা,excellent
আমি চ্যাপের সকল আইটেম পছন্দ করি,good
তাদের ব্যবহারও অনেক ভালো,excellent
অসাধারন একটা প্লেস খাওয়ার এবং খাওয়ানোর জন্য,excellent
অসম্ভব খারাপ,bad
সুস্বাদু মনে হচ্ছে,excellent
খাবারটি এবং গরুর মাংস দুর্দান্ত,excellent
এই জন্যইতো আর যাইনা,bad
এটা খুব সুস্বাদু,excellent
খুব বাজে খাবার একবার খেয়ে খাবার স্বাদ চলে গেছে,bad
কালাভুনার সাথে খিচুড়িও ছিলো দুর্দান্ত,excellent
পরিবেশন অনেক ধীরগতির,bad
খুব পানসে,bad
তাদের খাবারের তুলনা হয় না,excellent
প্রশংসা না করে পারলাম না,excellent
রাতের খাবার অনেক ভালো ছিলো,good
সর্বোপরি হতাশাজনক ছিলো,bad
এর চেয়ে শশুর বাড়ি যেয়ে খাবো তাই ভালো,bad
সামগ্রিকভাবে আমি যুক্তিসঙ্গত দাম নিয়ে সন্তুষ্ট,good
এটি সেরা বুফে ছিলো আমার দেখা মতে,excellent
জায়গা না থাকলে সামান্য সময়ের জন্য বাইরে অপেক্ষা করতে হবে,bad
শহরে সেরা কালাভুনা,excellent
শিক্ষার্থীদের জন্য ভালো জায়গা,good
দাম আরও কম হবে,bad
চমৎকার পরিবেশ,excellent
শীঘ্রই এখানে আবার যাব,good
ভিতরের পরিবেশটা অনেক ভালো ছিলো,good
গ্রেট খাবার,excellent
ভণ্ড খাবার,bad
প্রত্যেকেরই এখানে খেতে যাওয়া উচিত,good
পরিষেবাটি সবচেয়ে খারাপ ছিলো,bad
এই খাবারের মানে কি,bad
চকলেটটা অনেক জোশ,excellent
অনেক আগেই খাওয়া বাদ দিছি,bad
চরম টেস্ট,excellent
আমি এখানকার লেবু পানি পছন্দ করি,good
শহরে সেরা চ্যাপ দেখলাম,good
খাবারের মান আগের থেকে অনেক খারাপ,bad
আচরণের কথা বাদই দিলাম,bad
খুব ভালো স্বাদ ও সুন্দর জায়গা,good
এর চাইতে পাশেরটা অনেক ভালো,bad
খাবারের মান সবচাইতে সব দিক থেকে ভালো,good
দাম বেশি কিন্তু খাবার বিশেষ কিছু নয়,bad
খাবার মোটেই ভালো নয় যা খুব হতাশাজনক,bad
খেলে মাথাই নষ্ট মামা,excellent
প্রচুর খাইছি,excellent
এখানে যুক্তিসঙ্গত দামে চমৎকার খাবার পাওয়া যায়,good
এটা সেরা ছিলো,good
খুবই সংকীর্ণ এবং মানসম্মত না,bad
গতানুগতিক টেস্ট ছিলো,good
দোকানদারের ব্যবহারটা খুবই অমানবিক লেগেছিলো,bad
তেতুলেরটক খুবই সামান্য পরিমাণ দেয়,bad
ভালো পরিষেবা সঙ্গে ভালো খাবার,excellent
টেস্ট তেমন ভালো না,bad
খারাপ ব্যবহারের জন্য ক্ষমা চায় নি,bad
আমি এখন পর্যন্ত যতগুলো খেয়েছি তার মধ্যে সেরা,excellent
ড্রিঙ্কসটা তীব্র ছিলো,good
খুব সতেজকর,excellent
পরিষেবাটি খুবই ভালো ছিলো,good
আমি এখানে আর আসবো না,bad
দাম খুব বেশি,bad
পরিবেশনে আরও মনোযোগ প্রয়োজন,good
বিনয়ী ভাব ছিলো,good
ওই দোকানটাই এমন স্যাসড়া সব,bad
সিঙ্গারা খারাপ না,good
আর কখনও যাবেন না,bad
গরম সিঙ্গারা এমনিতে ও ভালো লাগে,good
আর জীবনেও খেতাম না,bad
খাবারের মানটি দুর্দান্ত,excellent
দোকানদার তো ম‌নে হ‌চ্ছে রি‌তিমত চামার,bad
কিন্তু আমার কাছে ভালোই লাগে,good
তাদের উচিত ভালো কোনো পজিশনে শুরু করা,bad
যাব আজ কালকের ভিতর,good
সন্দেশ এর স্বাদ অতুলনীয়,excellent
ভালো লাগেনি,bad
সব ঠিক আছে,good
আমাকে অবশ্যই আমার আগে খাওয়া সবার থেকে সবচেয়ে ভালো মেজবানী খাবারটি বলতে হবে,excellent
নোংরা পরিবেশ,bad
স্থান এবং পরিষেবা যথেষ্ট ভালো,good
শিক্ষার অভাব,bad
যুক্তিসঙ্গত দামে সুস্বাদু খাবার,good
গ্রেট খাবার,excellent
একটার চেয়ে অপরটির ভালো স্বাদ,excellent
হতাশ হলাম না,good
তারা গ্রাহকের উপর খুব ব্যয়বহুল টাকা চার্জ করে,bad
ভালো খাবারের নিখুঁত কম্বো,good
সবচেয়ে খারাপ খাবার পরিবেশন করে,bad
আশ্চর্যজনক সব খাবার আছে,excellent
খিচুড়ি ও কালাভুনা সত্যিই দুর্দান্ত,excellent
আসলে বেশ অস্বাস্থ্যকর,bad
টক খাদ্য,bad
সবার জন্য সেরা পছন্দ,excellent
ভিতরের পরিবেশ দেখলে আর খাইতে ইচ্ছা করে নাহ,bad
যে খায় তার বার বার খাইরে ইচ্ছা করে,excellent
এমন নোংরা পরিবেশের মিষ্টির দোকান আমি আমার জীবনে দেখি নাই,bad
পরটাগুলো দেখতে ভালো লাগছে,good
কি দারুন,excellent
তাদের মনোভাব এবং আচরণটি সবচেয়ে খারাপ এবং রুক্ষ,bad
ভালো খাবার,good
খুব বিরক্ত ইশারা দিয়েছে,bad
সুস্বাদু খাবারগুলো,excellent
আমার পছন্দের জায়গা,good
পচা খাবার,bad
খুব হতাশ হলাম এখানে গিয়ে,bad
অসাধারণ খিচুড়ি,excellent
তাদের সকলের জন্য শুভকামনা রইল,good
অত্যন্ত মান ও রুচিসম্মত খাবারের জায়গা,good
তারা খুব উচ্চ মূল্য চার্জ করে,bad
আমি সত্যিই তাদের খাবারগুলো পছন্দ করেছি,good
দুর্দান্ত পরিবেশ এবং আশ্চর্যজনক ভালো আচরণ,excellent
কোনও গ্রাহক পরিষেবা নেই,bad
সামগ্রিকভাবে তাদের খাবারও ভালো,good
দাম বেশি,bad
এটি বিভিন্ন ধরণের খাবারের জন্য দুর্দান্ত জায়গা,excellent
সব মিষ্টি ভালো,good
গরুর মাংস পুরোপুরি রান্না করা হয়,good
খুব ন্যায্য মূল্য,good
সামগ্রিকভাবে এটি চ্যাপ প্রেমীদের পক্ষে অত্যন্ত প্রস্তাবিত স্থান,good
খুব ছোট জায়গা,bad
চ্যাপ এবং হালিম আশ্চর্যজনক ছিলো,excellent
এখন আর যাওয়া হয়না,bad
আমি নিরাশ হয়নি,good
খাবারগুলো বেশ মজার,good
পরিহার করেছি অনেক আগে,bad
খাবারের স্বাদ এবং গুণমানটি অনেক ভালো ছিলো,excellent
আসলে খুব খারাপ,bad
সুন্দর জায়গা এবং মুখরোচক খাবার,excellent
খাবার অনেক হতাশাজনক,bad
সব খাবারই একদম মন মতো,good
পরিবেশও বেশ ভালো,good
একসাথে আসার জন্য খুব বেশি জায়গা নেই,bad
তারাও একটি মান বজায় রাখে,good
দাম বেশি হয়,bad
খাবারগুলোর টেস্ট দুর্দান্ত ছিলো,excellent
এটা দুর্দান্ত ছিলো,excellent
সুপার স্বাস্থ্যকর সাথে আপনার পেটের জন্যও খারাপ,bad
একদম ভালো স্বাদ এবং ভালো পরিবেশ,good
শহরের আর কোনও জায়গা দেশী খাবারের এত দাম চায় না,bad
সস্তা মেনু,good
মিষ্টি এবং নাস্তার দুর্দান্ত সংগ্রহ,excellent
এর থেকেও ভালো মিষ্টি পাওয়া যায়,bad
পরিষেবা দুর্দান্ত ছিলো,excellent
তারা বিনামূল্যে রস দিয়েছিলো,good
ভুল দাম,bad
আমি এখানে বারবার আসবো,good
খুব দুর্বল পরিষেবা এবং খাবারের পরিমাণ অনেক কম,bad
আমি জায়গাটি খাবারের জন্য পছন্দ করি,good
জঘন্য ওয়েটার সামগ্রিক অভিজ্ঞতা,bad
শহরে সেরা কালাভুনা!,excellent
রান্না বেশ প্রামাণিক এবং পরিষেবাটি বেশ ভালো,good
ওয়েটাররা ভাল প্রশিক্ষিত নয়,bad
তারা গ্রাহককে খুব অস্বস্তিকর করে তুলেছিল,bad
খুব ভাল খাবার এবং চমৎকার পরিষেবা,excellent
অত্যন্ত প্রশংসনীয়,excellent
সুন্দর এবং সুস্বাদু খাবার,good
ekhane ar khabo na,bad
valoi laglo ekhane kheye,good
valoi laglo ekhane kheye,good
ar zabo na eTate,bad